Turkish,English
sadece,only
bebek,baby
gidecek,will
yol,way
inanmak,believe
ev,house
su,water
kitap,book
araba,car
zaman,time
insan,person
gün,day
gece,night
anne,mother
baba,father
çocuk,child
okul,school
öğretmen,teacher
öğrenci,student
masa,table
sandalye,chair
kapı,door
pencere,window
yemek,food
ekmek,bread
süt,milk
kahve,coffee
çay,tea
elma,apple
muz,banana
portakal,orange
para,money
iş,work
ofis,office
şehir,city
ülke,country
dünya,world
deniz,sea
dağ,mountain
ağaç,tree
çiçek,flower
hayvan,animal
köpek,dog
kedi,cat
kuş,bird
balık,fish
güneş,sun
ay,moon
yıldız,star
hava,air
ateş,fire
toprak,earth
yağmur,rain
kar,snow
rüzgar,wind
sıcak,hot
soğuk,cold
büyük,big
küçük,small
iyi,good
kötü,bad
yeni,new
eski,old
uzun,long
kısa,short
hızlı,fast
yavaş,slow
güzel,beautiful
mutlu,happy
üzgün,sad
kolay,easy
zor,difficult
gelmek,come
gitmek,go
görmek,see
duymak,hear
konuşmak,speak
yazmak,write
okumak,read
yemek,eat
içmek,drink
uyumak,sleep
koşmak,run
yürümek,walk
sevmek,love
istemek,want
bilmek,know
düşünmek,think
vermek,give
almak,take
açmak,open
kapatmak,close
başlamak,start
bitirmek,finish
beklemek,wait
yardım,help
arkadaş,friend
aile,family